category	functions	disease	pvalue	state	zscore	bias_zscore	molecules	no_molecules
Inflammatory Response, Organismal Injury and Abnormalities, Renal and Urological Disease	inflammation	Inflammation of urinary tract	9.94e-08	0	-0.252	0.571	CX3CR1, Mt1, FCGR1A, TNFRSF1A, GADD45B, PRKAG2, NFKBIA, ARRB2, SLC33A1, C5AR1, RELB, TLR2, ESR1, HBEGF, EGFR, SLC2A6, Cd24a, LIF, PIM1, FCGR2A, NFKB2, SLC2A9, SELP, SERPINE1, BAX, FAS, FOXO3, APRT, MAPKAPK3, ITGAM, F2RL1, CCR1, ACE, WT1, ARHGDIA, DCN, MIF, LAMB2, TNFSF14, BMF, ABCA1, ICOSLG/LOC102723996, CD79B, MFGE8, HMOX1, MMUT, TNFAIP3, CEBPB, TNIP1	49
Cellular Development, Cellular Growth and Proliferation, Connective Tissue Development and Function, Tissue Development	development	Development of connective tissue cells	1e-07	Increased	2.414	2.099	NLRP12, GGT1, MAD2L2, TNFRSF1A, LAMA3, JDP2, SKAP2, ALOX5, ATF3, FOS, JUND, IL1RN, ASCL1, WIF1, TNFRSF11A, CYP1B1, PDCD4, EGFR, IL1B, FLNA, SOX5, CLEC5A, VNN1, NFKB2, AHR, GSN, SERPINE1, CXCL3, FST, FOXO3, JUN, SOCS3, SULF2, F13A1, CCL3L3, WT1, KLF4, LDLR, Clec2d (includes others), SLC40A1, SMPD3, MFGE8, GPNMB, KCNN4, CHST11, TERT, CYP1A2, PROK2, FZD8, EGR2, FRZB, ADAMTS7, ICAM1	53
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Lymphoid Tissue Structure and Development	proliferation	Proliferation of mononuclear leukocytes	1.01e-07	0	-0.069	-0.714	ADA, TNFRSF1A, SELL, JAK3, FCER1G, ITGB2, TNFRSF9, BIRC3, ARHGDIB, DAPP1, LILRB4, JUND, TYROBP, RGS2, TLR2, S1PR1, LILRB3, TARM1, LAPTM5, TNFRSF21, Cd24a, MAS1, SAMSN1, NFKB2, AHR, Serpina3g (includes others), STAT6, CDKN2B, Slfn1, STAT5B, FAS, JUNB, BTN1A1, CXCL12, ITGAM, LGALS1, SOCS3, ZBTB16, IL6R, CAMP, LEPR, WT1, FKBP1B, EPHB1, KLF4, LCP1, CBX2, DUSP1, GCNT1, STAT5A, ARHGDIA, GSTP1, NT5E, CCR2, STAT4, MBP, STIM2, NR4A1, CLEC4D, CD79B, EGR1, MMP19, DUSP5, RIPK3, CEBPB, RORC, RRAS, DUSP10, Ccl2, LMO1, GADD45B, NFKBIA, SPIB, LPIN1, C5AR1, RELB, MAP3K8, ANO6, CD86, ESR1, BACH2, CHST3, EHD3, IL1B, FABP4, CD14, SPI1, ACKR4, PAWR, PIM1, HAVCR2, FCGR2A, ANXA1, CYBB, FOXO3, CLCF1, F2RL1, BCL3, PIK3R1, IL15RA, RAC2, CCDC88B, TSC22D3, Clec2d (includes others), MZB1, BLNK, EHD4, MIF, Cmah, SPN, TNFSF14, CSF2RB, SLPI, ICOSLG/LOC102723996, CXCL2, CLEC4A, Irgm1, NOS2, TNFAIP3, ACLY, EGR2, Ly6a (includes others), HPX, ICAM1, SUCNR1	125
Cell Death and Survival	cell death	Cell death of granulocytes	1.03e-07	0	0.387	0.185	ITGAM, ADAM8, LGALS1, MPO, SLPI, NQO2, ITGB2, NFKBIA, LCN2, IRAK3, ANXA1, ST3GAL3, GSN, SERPINA1, MMP8, BAX, FAS, CYBB, FOXO3	19
Hematological System Development and Function	hemostasis	Hemostasis	1.15e-07	Increased	2.986	2.514	ANXA7, ENTPD1, LOX, ITGAM, HCK, PAPSS2, FGR, FCER1G, F13A1, PIK3R1, ARRB2, ITGA2B, LILRB4, MRTFA, LDLR, ADAMTS13, ANO6, F11, VWF, SCUBE1, FERMT3, EMILIN2, TLR2, PTGIR, SLC4A1, PLEK, F2RL2, CAPN1, PLAUR, MFGE8, ANXA2, PLAT, CTSG, GATA1, NOS2, SELP, SELPLG, LGALS3, NFE2, PROCR, F13B	41
Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response, Tissue Development	accumulation	Accumulation of neutrophils	1.16e-07	Increased	2.608	2.116	Ccl2, CCR2, ITGAM, S100A8, NLRP12, IL1B, CXCL10, S100A9, ITGA6, EGR1, ITGB2, CXCL2, LAMA5, LCN2, FCGR2A, PRTN3, IL1RN, SELP, MAP3K8, MAPK13, SELPLG, MIF	22
Organ Development, Renal and Urological System Development and Function	function	Function of kidney	1.26e-07	0	-1.087	-1.199	LGMN, PTPRB, TNFRSF1A, AQP7, HSPA4L, PRKAG2, LIN7C, HP, MAP3K8, SLC4A5, NT5E, TLR2, ESR1, SLC4A1, STAT4, IL1B, MPO, MAS1, GUCA2B, NOS2, STAT6, LGALS3, SLC26A6, CYBB, SUCNR1	25
Cell Death and Survival	apoptosis	Apoptosis of granulocytes	1.45e-07	0	0.466	0.214	ITGAM, ADAM8, LGALS1, SLPI, NQO2, ITGB2, NFKBIA, LCN2, IRAK3, ANXA1, ST3GAL3, GSN, SERPINA1, MMP8, BAX, FAS, CYBB, FOXO3	18
Free Radical Scavenging, Molecular Transport	release	Release of reactive oxygen species	1.45e-07	Increased	2.582	2.104	HCK, CAT, FPR2, ANXA2, FGR, DUOXA2, ITGB2, FCER1G, CAMP, DUOXA1, FCGR2A	11
Inflammatory Response	acute inflammation	Acute inflammation	1.46e-07	0	1.653	1.443	CCR2, IL1B, ALOX5AP, HPSE, FPR2, NCF1, LIF, ITGB2, SELE, ARRB2, ALOX5, GGT5, NOS2, IL1RN, SELP, SERPINE1, ICAM1, CYBB, PTGIR	19
Protein Synthesis	production	Production of protein	1.59e-07	0	-0.438	-0.525	Ccl2, RSAD2, Mt1, TNFRSF1A, FCGR1A, JAK3, VSIR, FCER1G, TNFRSF9, GADD45B, ITGB2, NFKBIA, ATF3, SPIB, DAPP1, LILRB4, C5AR1, RELB, MAP3K8, TYROBP, NFKBIZ, CD86, TLR2, ESR1, BACH2, CXCL10, TNFRSF21, FPR2, SPI1, Mbl1, FCRLA, SAMSN1, NFKB2, Pvr, SELP, CABIN1, CXCR2, BATF, STAT6, FAS, CD207, CLEC4E, F2RL1, TNFAIP8L2, CCR1, PGLYRP1, BCL3, IRAK3, SDC1, CD83, CHI3L1, LDLR, MARCO, BLNK, IL17RB, CTSE, MIF, CCR2, Cmah, TRIP10, CSF2RB, CLEC4D, BMF, ICOSLG/LOC102723996, MFGE8, CLEC4A, NOS2, RGS1, CEBPB, LGALS3, CHRNA4, Ly6a (includes others)	72
Carbohydrate Metabolism, Molecular Transport, Small Molecule Biochemistry	concentration	Concentration of D-glucose	1.61e-07	0	-0.749	-0.912	Ccl2, GCKR, Mt1, DCXR, PPARA, AQP7, PKM, ITGB2, LMNA, GLUD1, PNPLA2, GHR, CPT1C, HSD11B1, CIDEA, FOXA2, CCDC3, TLR2, ESR1, DGAT2, EGFR, FABP4, IL1B, IGFBP5, IGF1, Gk, PPP1R15A, ACACB, DECR1, SSTR2, CDK5RAP1, FOXO3, FGF1, SOCS3, ABCB4, PIK3R1, LEPR, CIDEC, FKBP1B, OLFM4, RGS16, MGMT, LDLR, Akr1b7, GPR39, IGFBP3, MIF, STEAP4, CLCN5, STAT4, GDF15, SLC2A3, SREBF1, CA5A, MPO, HADH, ELOVL5, CES1, PDK4, CYP4F2, PCTP, PRLR, NOS2, SLC22A1, SLC2A4, CEBPB, MAPK13, SLC13A5, GPR12, LGALS3, TFE3, ICAM1, ATXN1	73
Cell-To-Cell Signaling and Interaction	interaction	Interaction of tumor cell lines	1.61e-07	0	0.931	0.406	JUN, Ccl2, ITGAM, CXCL12, ITGA3, IL6R, CAMP, EPHB1, SDC1, SAA1, P2RY2, Saa3, SPN, GDF15, CXCL10, ITGA6, ANXA2, EGR1, CXCL2, VCAN, LGALS3, ICAM1, SERPING1, CLEC7A, JUNB	25
Organismal Injury and Abnormalities, Renal and Urological Disease, Renal and Urological System Development and Function	abnormal morphology	Abnormal morphology of urinary system	1.65e-07	0	0	0	PKHD1, TK1, CLDN7, Mt1, LGMN, TNFRSF1A, SALL4, SLIT3, LIN7C, GLA, NEK8, HP, GHR, HSD11B1, ZFP36, Cdkn1c, ESR1, ABCA7, DHCR7, ASB4, HSD17B2, EGFR, EHD3, DAPK1, MAS1, SLC2A9, CLU, STAT6, CLEC6A, SERPINE1, XYLT2, APRT, ITGA3, CCR1, WNT5A, DDR1, CLDN4, HSPA4L, ACE, LEPR, WT1, ESRRG, FGFRL1, GCNT1, ARHGDIA, DCN, PCCA, BCAM, EHD4, LAMB2, CTBS, DYNC2LI1, GDF15, ITGA6, ABCA1, HMOX1, SYNPO, GSTZ1, MMUT, NOS2, CEBPB, CTNNBIP1, ICAM1, RARB	64
Organismal Injury and Abnormalities	interstitial fibrosis	Interstitial fibrosis	1.7e-07	0	-1.778	-1.409	Ccl2, Mt1, MMP2, LGMN, WNT5A, PTPRB, TNFRSF1A, NCF1, WT1, LIN7C, F630028O10Rik, ACSL1, DCN, TLR2, SLC2A6, IL1B, EGR1, PLAT, MAS1, KCNN4, LCN2, NOS2, SLC2A9, TNFAIP3, GSN, CYBB, CSRP3, APRT	28
Infectious Diseases	infection	Viral Infection	1.77e-07	Decreased	-2.272	-1.984	Ccl2, RSAD2, CD300LF, TNFRSF1A, FDPS, ITGB2, TNFRSF9, STING1, IL1RN, TYROBP, NGF, CD9, NFKBIZ, IL18R1, EGFR, SPON2, IL1B, CXCL10, SPI1, CXCR2, STAT6, Tlr13, PPP1R15A, BAX, IKBKE, ITGAM, F2RL1, CCR1, LGALS1, MMP12, CSF2RA, HMGCR, IFNLR1, PIK3R1, CCL3L3, IRAK3, DUSP1, TMPRSS2, TREM1, MIF, NT5E, CASP4, CXADR, GSDMD, CCR2, STAT4, OASL, ANXA5, NOS2, HLA-A, NGFR, ICAM1, P2RY6, DNMT3B	54
Cellular Movement	trafficking	Trafficking of blood cells	1.8e-07	Increased	2.126	1.42	Ccl2, CCR2, SPN, CX3CR1, CXCL10, HPSE, TNFRSF1A, NEDD9, TNFRSF9, ITGB2, CCL3L3, AQP3, ANXA1, MAP3K8, CXCL3, S1PR1	16
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Lymphoid Tissue Structure and Development	proliferation	Proliferation of lymphocytes	1.99e-07	0	-0.145	-0.771	ADA, TNFRSF1A, SELL, JAK3, FCER1G, ITGB2, TNFRSF9, BIRC3, ARHGDIB, DAPP1, LILRB4, JUND, TYROBP, RGS2, TLR2, S1PR1, LILRB3, TARM1, LAPTM5, TNFRSF21, Cd24a, MAS1, SAMSN1, NFKB2, AHR, Serpina3g (includes others), STAT6, CDKN2B, Slfn1, STAT5B, FAS, JUNB, BTN1A1, CXCL12, ITGAM, LGALS1, SOCS3, ZBTB16, IL6R, CAMP, LEPR, WT1, FKBP1B, EPHB1, KLF4, LCP1, CBX2, DUSP1, GCNT1, STAT5A, ARHGDIA, NT5E, CCR2, STAT4, MBP, STIM2, NR4A1, CLEC4D, CD79B, EGR1, MMP19, DUSP5, RIPK3, CEBPB, RORC, RRAS, DUSP10, Ccl2, LMO1, GADD45B, NFKBIA, SPIB, LPIN1, C5AR1, RELB, MAP3K8, ANO6, CD86, ESR1, BACH2, CHST3, EHD3, IL1B, FABP4, CD14, SPI1, ACKR4, PAWR, PIM1, HAVCR2, FCGR2A, ANXA1, CYBB, FOXO3, CLCF1, F2RL1, BCL3, IL15RA, PIK3R1, RAC2, CCDC88B, TSC22D3, Clec2d (includes others), MZB1, BLNK, EHD4, MIF, Cmah, SPN, TNFSF14, CSF2RB, SLPI, ICOSLG/LOC102723996, CLEC4A, Irgm1, NOS2, TNFAIP3, ACLY, EGR2, Ly6a (includes others), HPX, ICAM1, SUCNR1	123
Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Renal and Urological Disease, Renal and Urological System Development and Function	abnormal morphology	Abnormal morphology of kidney	2.19e-07	0	0	0	PKHD1, TK1, CLDN7, Mt1, LGMN, TNFRSF1A, SALL4, SLIT3, LIN7C, GLA, NEK8, HP, GHR, HSD11B1, ZFP36, Cdkn1c, ESR1, ABCA7, ASB4, HSD17B2, EGFR, EHD3, DAPK1, MAS1, SLC2A9, CLU, STAT6, CLEC6A, SERPINE1, XYLT2, APRT, ITGA3, CCR1, DDR1, HSPA4L, ACE, LEPR, WT1, ESRRG, FGFRL1, GCNT1, ARHGDIA, DCN, PCCA, BCAM, EHD4, LAMB2, CTBS, DYNC2LI1, GDF15, ABCA1, HMOX1, SYNPO, GSTZ1, NOS2, MMUT, CEBPB, CTNNBIP1, ICAM1, RARB	60
Tissue Development	growth	Growth of epithelial tissue	2.36e-07	0	1.334	0.875	DUSP10, IFT57, Mt1, ERBB4, TNFRSF1A, PPARA, LIMS2, HTRA1, CARD9, NFKBIA, ANGPTL4, ATF3, ALOX5, IRF6, FOS, STING1, IL1RN, JUND, RELB, MAP3K8, NGF, TNFRSF11A, PTGIR, ESR1, LRG1, SLC7A5, EGFR, FABP4, IL1B, IFT122, CDC25A, FPR2, Nrg1, CLDN15, LCN2, IGF1, PROK1, AHR, CXCR2, NUPR1, ADM, SERPINE1, TNFRSF12A, CXCL3, FST, BAX, NLRP6, IL36G, TNFAIP8, THRB, JUNB, JUN, CXCL12, FGF1, ITGA3, WNT5A, SOCS3, SULF2, MMP12, IL6R, SLC20A1, ABCB4, CAMP, LEPR, KLF4, LAMA5, SPRY4, VIM, STAT5A, P2RY2, TRAF4, STEAP4, LTBP4, CCR2, PAK1, CSF2RB, ITGA6, VIPR1, MFGE8, TERT, MARVELD3, CYP4F2, RALGDS, HEYL, IGFBP1, LTB4R, NGFR, TNFAIP3, AGAP2, PROK2, CEBPB, CTNNBIP1, GUCY2C	93
Cellular Function and Maintenance	endocytosis	Endocytosis	2.41e-07	Increased	3.38	2.33	FCGR1A, FGR, FCER1G, ITGB2, SAA1, SNCA, RELB, CD300A, TYROBP, RGCC, TLR2, ABCA7, IL1B, CD14, CXCL10, FLNA, Cd24a, SPI1, Mbl1, LCN2, FCGR2A, ANXA1, GSN, CLEC6A, SERPINE1, FAS, SNX10, FLOT1, ITGAM, MAPKAPK3, HCK, PLSCR1, WNT5A, CSF2RA, PGLYRP1, SIRPB1, CAMP, LEPR, TREM2, RAC2, MYO1G, VIM, CAPG, LDLR, TREML2, MARCO, GSTP1, CLCN5, CCR2, CD5L, SREBF1, CSF2RB, ANXA5, ABCA1, ICOSLG/LOC102723996, PLAUR, S100A9, CAP1, MFGE8, PLAT, EGR1, LECT2, HMOX1, LTB4R, CEBPB, LGALS3, ICAM1	67
Cancer, Organismal Injury and Abnormalities	cancer	Cancer of cells	2.6e-07	Increased	3.119	3.009	KRT8, GPT2, ERBB4, TNFRSF1A, LAMA3, NEDD9, RALGAPA2, JAK3, DPYSL4, ATF3, ALOX5, FOS, Ifi27l2a/Ifi27l2b, CXCR6, ADI1, SNAI2, ZFP36, Saa3, CYP1B1, TLR2, PCDH12, S1PR1, Neat1, DAPK1, TNFRSF21, LCN2, IGF1, NFKB2, GSN, CXCR2, STAT6, CLEC6A, CDKN2B, TNFRSF12A, BAX, STAT5B, FAS, CYBA, ENTPD1, CXCL12, WNT5A, HMGCR, RHOC, WT1, S100A4, EMB, LCP1, VIM, MGMT, BTG2, IER3, STAT5A, DCN, NTRK2, NT5E, UGDH, ARHGDIG, MAP4K4, S100A8, Clca3a1/Clca3a2, PAK1, CLEC4D, S100A9, PLAUR, BMF, EGR1, TERT, LIFR, WSB1, RIPK3, SMOC2, CA3, RORC, PLPP3, Ccl2, LMO1, Ccl6, UBD, HTRA1, NFKBIA, ANGPTL4, SKAP2, NCF2, SLC33A1, CAT, MAP3K8, FUT8, Cdkn1c, GPI, MPEG1, BACH2, PDCD4, EGFR, IL1B, CDC25A, SPI1, PIM1, FCGR2A, ANXA1, LTF, RBM38, CDCP1, SELP, RASSF1, MMP8, Raet1d/Raet1e, CXCL3, CYBB, FOXO3, THRB, ANXA7, ITGA3, PIK3R1, RAC2, KRT14, LAMA5, PLET1, SDC1, MRTFA, CCN4, Tpm1, BLNK, TRAF4, TAL1, CEBPD, CBR1, SLPI, ABCA1, CXCL2, HMOX1, FAM110D, NOS2, MCAM, LGALS3, COTL1, CAVIN2, DNMT3B	137
Cardiovascular Disease, Organismal Injury and Abnormalities	formation	Formation of vascular lesion	2.61e-07	0	1.46	1.443	Ccl2, LOX, CX3CR1, MMP2, CCR1, MMP12, DDR1, NCF1, CCL3L3, NFKBIA, KLF4, ALOX5, LDLR, ADAMTS13, ZFP36, ESR1, TLR2, PON1, CXCL10, MPO, CXCL2, HMOX1, NOS2, LTB4R, AHR, TIMP1, SERPINE1, SERPIND1	28
Cell-To-Cell Signaling and Interaction, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	activation	Activation of T lymphocytes	2.66e-07	0	0.612	0.202	ADA, Ccl2, NCF1, JAK3, VSIR, FCER1G, ITGB2, NFKBIA, SAA1, SLC33A1, RELB, MAP3K8, ANO6, FGL1, CD86, BACH2, EGFR, IL1B, LAPTM5, TARM1, Cd24a, HAVCR2, ANXA1, NFKB2, BAX, STAT5B, FAS, PGLYRP2, FOXO3, ITGAM, TNFAIP8L2, LGALS1, IL6R, IFNLR1, BCL3, IL15RA, IRAK3, CCDC88B, GFI1B, DCT, LDLR, DUSP1, STAT5A, MIF, CCR2, SPN, STAT4, MBP, TNFSF14, NR4A1, CSF2RB, ICOSLG/LOC102723996, HLA-A, MMP19, NLRP3, ICAM1, SUCNR1	57
Dermatological Diseases and Conditions, Inflammatory Disease, Inflammatory Response, Organismal Injury and Abnormalities	dermatitis	Dermatitis	2.83e-07	0	-1.154	-0.806	CD300LF, TNFRSF1A, PGLYRP1, IFNLR1, BCL3, FCER1G, ITGB2, SELE, CAMP, NFKBIA, IDO2, AREG, LDLR, IL1RN, SLC33A1, C5AR1, RELB, ZFP36, CTSE, NFKBIZ, TLR2, PTGIR, EGFR, IL1B, MME, NR4A1, S100A9, SLPI, FCGR2A, SOD3, NOS2, LTB4R, AHR, NGFR, SELP, NLRP3, STAT6, TNIP1, ICAM1, RORC, PGLYRP2, FOXO3, JUNB	43
Lipid Metabolism, Molecular Transport, Small Molecule Biochemistry	quantity	Quantity of polyunsaturated fatty acids	2.93e-07	Increased	2.247	1.779	Ccl2, ALOX5AP, KLKB1, CAMP, LEPR, CX3CL1, ALOX5, SNCA, LDLR, DUSP1, MAP3K8, GHR, LPAR3, PTGIR, CYP1B1, DGAT2, EGFR, HPGD, IL1B, FPR2, LIF, ELOVL5, CYP4F2, LCN2, ACSL4, NOS2, CYP1A2, P2RX4, ACOT2, MGLL	30
Organismal Functions, Organismal Injury and Abnormalities, Tissue Morphology	healing	Healing of wound	3.04e-07	0	0	0	Ccl2, CELSR1, FGF1, Mt1, HPSE, TNFRSF1A, IL6R, SELL, PPARA, ITGB2, RAC2, VIL1, JDP2, AJUBA, SDC1, CX3CL1, ANKRD1, C5AR1, PER1, SLC11A1, Cmah, HBEGF, AEBP1, SLPI, EGR1, PLAT, NOS2, GSN, CXCR2, CCM2L, SERPINE1, FST, NLRP6, ICAM1	34
Cell Death and Survival	cell death	Cell death of intestinal cells	3.11e-07	0	1.205	1.367	GSDMD, KRT8, EGFR, MAD2L2, TNFRSF1A, IGF1, ATF3, TNFRSF10A, FITM2, TNFAIP3, RIPK3, RNF186, PLS1, MAP3K8, TFF3, TNIP1, BAX, GUCY2C, FAS, CASP4, TNFAIP8	21
Cardiovascular Disease, Cardiovascular System Development and Function, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities	hypertrophy	Hypertrophy of heart	3.13e-07	0	0	0	ADA, Ccl2, APLNR, Hspa1b, TNFRSF1A, NCF1, DES, PRKAG2, ARRB2, GLA, ATF3, CMKLR1, HDC, PNPLA2, RGS2, CTSD, PTGIR, HBEGF, EGFR, CTF1, HSPB8, LIF, PIM1, IGF1, GPX3, AHR, RASSF1, GSN, ADM, SERPINE1, CDK5RAP1, CYBB, IKBKE, JUN, CXCL12, HCK, IL6R, FASN, PIK3R1, LEPR, FKBP1B, KLF4, MRTFA, DUSP1, IER3, Tpm1, HOPX, CPT2, PNKD, NT5E, SLC4A1, ABCA1, S100A6, MYH10, PLAT, HMOX1, TERT, NOS2, TNFAIP3, SLC2A4, TIMP1, GUCY2C, CSRP3, PDGFA, P2RY6	65
Cell Signaling, Small Molecule Biochemistry	synthesis	Synthesis of nitric oxide	3.26e-07	0	0.285	-0.019	JUN, ITGAM, HCK, Hspa1b, CD300LF, Orm1 (includes others), SOCS3, TNFRSF1A, NCF1, PIK3R1, CAMP, NFKBIA, FKBP1B, GLA, SLC7A2, ALOX5, IL1RN, HDC, IGFBP3, SLC11A1, MIF, AGXT2, TLR2, CYP1B1, ESR1, S1PR1, STAT4, IL1B, CD14, NR4A1, LIF, NOS2, STAT6, ARG2, P2RX4, MMP8, ABCD2, ARL11, CYBB, CYBA	40
Cell Death and Survival	survival	Cell survival	3.26e-07	Increased	2.579	1.124	Hspa1b, CX3CR1, ERBB4, TNFRSF1A, LAMA3, JAK3, PPARA, FCER1G, TNFRSF9, FOS, SNCA, SNAI2, TYROBP, GHR, GAMT, CD9, SLC11A1, Saa3, HBEGF, Nrg1, SLC1A2, LCN2, IGF1, STAT6, ELANE, ADM, BAX, STAT5B, FAS, YWHAZ, JUN, CXCL12, ITGAM, WNT5A, SOCS3, IRAK3, CX3CL1, MGMT, DUSP1, STAT5A, SLC6A8, STX1B, CEBPE, NTRK2, GSTP1, CCR2, SLC40A1, STAT4, MBP, PAK1, NR4A1, S100A9, EGR1, PLAT, HLA-A, RIPK3, PROK2, CEBPB, NFE2, PDGFA, RORC, B4GALT5, MVP, Mt1, CSF3R, GADD45B, NFKBIA, JDP2, LMNA, NCF2, ATG3, RELB, GSR, CAT, REV3L, NGF, CD86, ESR1, PDCD4, EGFR, CTF1, IL1B, CXCL10, HSPB8, LIF, IGFBP5, PIM1, PROK1, SELPLG, SERPINE1, CXCL3, CYBB, FOXO3, LINGO1, FGF1, ABCB4, BCL3, SELE, PIK3R1, SLC31A1, RAC2, LAMA5, HSF2, TSC22D3, MAPT, BLNK, TAL1, SPN, CEBPD, GDF15, CSF2RB, ICOSLG/LOC102723996, GPNMB, CXCL2, PDK4, GATA1, EPOR, NOS2, NGFR, TNFAIP3, LGALS3, ATXN1	122
Cellular Movement	extravasation	Extravasation	3.3e-07	Increased	3.241	2.512	ITGAM, ALOX5AP, WNT5A, CCR1, SELL, ITGB2, CCL3L3, SELE, LILRB4, CD63, LDLR, HDC, TREM1, TLR2, CCR2, IL1B, ADAM8, TREM3, S100A9, TNFRSF21, MYO1F, LCN2, SELP, RIPK3, ICAM1	25
Immunological Disease, Inflammatory Response	inflammatory response	Abnormal inflammatory response	3.51e-07	0	0	0	ITGAM, HCK, STAT4, TNFAIP8L2, MMP2, TNFRSF1A, IL6R, NCF1, SELL, FGR, IRAK3, ALOX5, NOS2, TNFAIP3, GCNT1, MMP8, ELANE, ICAM1, MIF, CLEC7A	20
Connective Tissue Disorders, Inflammatory Disease, Inflammatory Response, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	experimentally-induced arthritis	Experimentally-induced arthritis	3.56e-07	0	1.218	0.986	ITGAM, HCK, MMP2, TNFRSF1A, FCGR1A, NQO2, BCL3, HTRA1, FGR, F13A1, IL1R2, SELE, NFKBIA, IL1RN, DUSP1, MAPT, SLC11A1, MIF, PTGIR, Saa3, TLR2, GPI, CCR2, STAT4, IL1B, FPR2, CXCL2, LECT2, HMOX1, FCGR2A, ANXA1, AHR, SELP, NAMPT, STAT6, FAS, FOXO3	37
Cardiovascular System Development and Function, Organismal Development	angiogenesis	Angiogenesis	3.62e-07	Increased	3.14	2.162	ADA, LOX, CX3CR1, MMP2, TNFRSF1A, PTPRB, NCF1, SELL, SLIT3, PPARA, FGR, PKM, ITGB2, PLA2G7, ALOX5, Aldh1a7, RGS2, CD9, FES, FERMT3, CYP1B1, TLR2, LRG1, S1PR1, ANG, C6, LCN2, IGF1, AHR, GSN, CXCR2, ADM, TNFRSF12A, FAS, YWHAZ, JUNB, JUN, CXCL12, ITGAM, LGALS1, WNT5A, HPSE, SOCS3, ADM2, MEGF8, WT1, ROR1, KLF4, SPRY4, CX3CL1, VIM, TKT, CHI3L1, CBX2, STAT5A, ARHGDIA, IGFBP3, NTRK2, CCR2, SMPD3, NR4A1, LMO2, PLAUR, EGR1, PLAT, Ngp, LTB4R, RIPK3, PROK2, SMOC2, CYP51A1, FZD8, PROCR, PDGFA, RARB, PLPP3, Ccl2, APLNR, ECSCR, HTRA1, ANGPTL4, NFKBIA, LRP8, IL1RN, C5AR1, CAT, NGF, PTGIR, ESR1, ZMYND10, DHCR7, ASB4, EHD3, IL1B, FABP4, SVEP1, CXCL10, FLNA, ANXA2, LIF, ADAM15, OLR1, ANXA1, PROK1, SELP, MMP8, SERPINE1, KLF1, FOXO3, SERPIND1, TTR, HCK, GLUL, F2RL1, EMILIN1, DDR1, PIK3R1, RAC2, ARHGAP22, LAMA5, LDLR, HSD17B7, MAPT, IL18BP, EHD4, TAL1, G6PD, SGPL1, ADAM8, CSF2RB, SEMA3B, MFGE8, MYH10, CXCL2, CYP4F2, HMOX1, EPOR, NOS2, NGFR, LGALS3, TIMP1, ICAM1, ATXN1	143
Cellular Compromise, Inflammatory Response	degranulation	Degranulation of cells	3.73e-07	0	1.566	1.204	STX11, ITGAM, HCK, STXBP2, CX3CR1, RASGRP4, TRIB3, FGR, EHF, FCER1G, ITGB2, CCL3L3, RAC2, ATF3, FOS, LILRB4, LPIN1, CD63, DUSP1, CD300A, STAT5A, PRAM1, HSD11B1, TREML2, CD9, TLR2, DHCR7, Ccl7, CAPN1, PAK1, MYO1F, FCGR2A, HAVCR2, ANXA1, TNFAIP3, DUSP5, EPM2A, STAT5B, JUNB	39
Hematological System Development and Function, Lymphoid Tissue Structure and Development, Organ Morphology, Tissue Morphology	enlargement	Enlargement of lymphoid organ	3.77e-07	0	0	0	KRT8, Mt1, NLRP12, LGMN, SELL, JAK3, FCER1G, ITGB2, TNFRSF9, NFKBIA, ADD2, HP, ZFP36, NFKBIZ, PTGIR, SPI1, PAWR, RBM38, AHR, CXCR2, CDKN2B, BAX, STAT5B, FAS, FOXO3, CXCL12, TNFAIP8L2, SOCS3, ABCB4, BCL3, ITGA2B, STAT5A, BIK, BLNK, MIF, SLC4A1, CCR2, TNFSF14, CSF2RB, BMF, ABCA1, MFGE8, KCNN4, HMOX1, GATA1, PLEK2, TNFAIP3, NLRP3, RIPK3, CEBPB, NFE2, TNIP1, PROCR, HPX, RORC	55
Inflammatory Response	degranulation	Degranulation	3.78e-07	0	1.696	1.312	STX11, ITGAM, HCK, STXBP2, CX3CR1, RASGRP4, TRIB3, FGR, EHF, FCER1G, ITGB2, CCL3L3, RAC2, ATF3, FOS, LILRB4, LPIN1, CD63, DUSP1, CD300A, STAT5A, PRAM1, HSD11B1, TREML2, CD9, TLR2, DHCR7, Ccl7, CAPN1, PAK1, MYO1F, FCGR2A, HAVCR2, ANXA1, TNFAIP3, DUSP5, EPM2A, STAT5B, CYBB, JUNB	40
Lipid Metabolism, Molecular Transport, Small Molecule Biochemistry	transport	Transport of steroid	4.16e-07	0	-0.241	-0.691	APOA4, ABCB4, NPC2, APOF, SLC51B, SAA1, LSS, LDLR, SCP2, ABCC3, SLC22A8, ABCA7, RELN, AEBP1, S100A8, FABP4, SREBF1, MPO, ABCG5, ABCA1, S100A9, ABCG8, CES1, VNN1, CLU, PLTP	26
