analysis	regulator	fc	type	state	zscore	Notes	bias	bias_zscore	pvalue	target
ndr_vs_wt_all - 2020-11-20 05:39 PM	Irgm1	-0.524	other	Inhibited	-2.144	bias	-0.258	-1.299	0.00232	Ccl2, CXCL10, FAS, IFI16, Ifi27l2a/Ifi27l2b, LILRB4, NUPR1, OASL, RSAD2, SELP, TK1
ndr_vs_wt_all - 2020-11-20 05:39 PM	XBP1	0.047	transcription regulator	0	-1.509	0	0.068	-1.72	0.00232	AFP, CAT, CXCL2, CYP1A2, CYP2E1, EDEM2, HMOX1, S1PR1, SERPINA1, TNFRSF10A, TTR
ndr_vs_wt_all - 2020-11-20 05:39 PM	INHA	-0.051	growth factor	0	-0.784	0	-0.003	-0.772	0.00244	AREG, BOC, CCN4, CYP17A1, CYP1B1, CYP51A1, EGFR, EMILIN2, EPHX1, FST, HSD17B2, ITGA3, KRT18, KRT8, LMNA, MMP2, PIK3R1, PRLR
ndr_vs_wt_all - 2020-11-20 05:39 PM	Cdc42	0.048	enzyme	0	-0.469	0	0.077	-0.696	0.00248	Ccl2, CD86, CTSD, CTSZ, FAS, FLNA, GFAP, LIF, NPC2, SPI1
ndr_vs_wt_all - 2020-11-20 05:39 PM	IRAK3	0.784	kinase	0	1.185	0	0.048	1.051	0.00248	Ccl2, CXCL2, CXCL3, GPR84, NFKBIA, NOS2, TNFAIP3, VIM
ndr_vs_wt_all - 2020-11-20 05:39 PM	SMAD2	0.083	transcription regulator	0	-0.378	0	0.08	-0.59	0.00255	AFP, ALPL, CCL20, CES1, CYP51A1, FDFT1, IL6R, S1PR1, SERPINE1
ndr_vs_wt_all - 2020-11-20 05:39 PM	MAP4K4	0.793	kinase	0	0.966	0	-0.241	2.062	0.00257	ACACB, ACLY, ALDH3B1, ALDH4A1, ATP6V0E1, AUH, BCKDHB, CEBPB, FASN, GLUL, GRHPR, HADH, HSD3B7, LDHB, MGLL, PAPSS2, PI4K2B, SCP2, SLC2A4, SREBF1, SUCLG1
ndr_vs_wt_all - 2020-11-20 05:39 PM	ITGB1	0.017	transmembrane receptor	0	1.114	0	-0.006	1.139	0.00262	ADAM15, CCN4, COL5A2, FGF1, GFAP, IL1B, ITGA3, LOX, MMP15, MMP19, MMP2, NOS2, RELN, SEMA5B, TECTA, VIM
ndr_vs_wt_all - 2020-11-20 05:39 PM	DICER1	-0.022	enzyme	0	-0.854	0	-0.002	-0.841	0.00264	AFP, CCR2, CD86, Cdkn1c, CDKN2B, CXCL10, DHCR24, EGR1, EGR2, ENTPD1, FCGR2A, FOS, GREB1L, HMGCR, HSD17B7, IL18R1, IL1B, ITGA6, JUN, LCP1, LPAR3, MCAM, NGFR, NR6A1, P2RX3, PDCD4, PROCR, RBM38, SERPINE1, SOCS3, SPI1, SPN, TNNT1, Tpm1, WNT5A
ndr_vs_wt_all - 2020-11-20 05:39 PM	SIRT1	-0.076	transcription regulator	0	-0.456	0	-0.122	0.314	0.00272	ABCA1, BIRC3, Ccl2, CD79B, CD83, CEBPB, CPT1B, CYP2B6, ENTPD8, EVPL, FABP4, FAS, FOXO3, GBP6, HCK, HLA-A, HMGCR, IGF1, Igtp, IL1B, Irgm1, LAPTM5, LGALS3, LY6E, MAPT, MMP2, MTHFD1L, MVK, NOS2, NTRK2, PCK2, PDK4, RELB, RGS16, RNF39, RSAD2, Scd2, SLC7A10, Slfn2, SOD3, SYNPO, TAL1, TBC1D8, WNT2
ndr_vs_wt_all - 2020-11-20 05:39 PM	DIO2	0.051	enzyme	0	1.411	0	-0.017	1.468	0.00279	AGBL3, ASPA, ATF3, CARMIL1, CCL3L3, Ctla2a/Ctla2b, CYP1B1, EGR1, FOS, FOSB, FST, Hspa1b, ICOSLG/LOC102723996, IER5, LILRB4, MBP, NR4A1, Orm1 (includes others), PHLDA2, PI15, SBNO2, SCUBE1, SERINC2, SLC10A6, SMIM3
ndr_vs_wt_all - 2020-11-20 05:39 PM	TCF4	-0.03	transcription regulator	Activated	2.853	0	0.229	1.973	0.00294	ADA, BACH2, C15orf39, Clec2d (includes others), CTSE, DCT, ENTPD1, FKBP11, HSD11B1, IFI16, KCNN4, Ly6a (includes others), MZB1, PLAC8, SELL, Serpina3g (includes others), SERPINB1, SLC66A3, SPC25, SUB1, TENT5C, VSIR
ndr_vs_wt_all - 2020-11-20 05:39 PM	ANXA1	0.996	enzyme	0	-0.516	0	-0.161	-0.141	0.00294	ANXA2, IL1B, ITGAM, MMP2, RORC, SELL, TSC22D3
ndr_vs_wt_all - 2020-11-20 05:39 PM	EBF2	-0.031	transcription regulator	0	0.816	bias	0.258	0.184	0.00294	ACY3, ADAMTS15, CIDEA, LGI2, NTM, PPARA, SHISA3
ndr_vs_wt_all - 2020-11-20 05:39 PM	Mt1	0.959	other	Inhibited	-2.219	bias	-0.258	-1.646	0.00294	ATF3, FOS, GSTP1, IL1B, JUN, Mt1, SERPINE1
ndr_vs_wt_all - 2020-11-20 05:39 PM	NLRP12	1.42	other	Inhibited	-2.646	0	-0.235	-2.025	0.00294	BCL3, CXCL2, ICAM1, IL1B, IL1RN, JUN, NOS2
ndr_vs_wt_all - 2020-11-20 05:39 PM	TAL1	1.379	transcription regulator	Activated	2	0	0.065	1.871	0.00294	EPB42, EPOR, GATA1, KLF1, MPO, PTDSS1, SPI1
ndr_vs_wt_all - 2020-11-20 05:39 PM	USF1	-0.145	transcription regulator	0	0	0	0	0	0.00294	ABCA1, AKAP12, DUSP1, FASN, LDLR, Mt1, SYNPO
ndr_vs_wt_all - 2020-11-20 05:39 PM	BLVRA	0.061	enzyme	0	0	0	0	0	0.00301	C5AR1, CXCL10, PPARA
ndr_vs_wt_all - 2020-11-20 05:39 PM	CCL22	0.035	cytokine	0	0	0	0	0	0.00301	CCL3L3, CXCL2, CXCL3
ndr_vs_wt_all - 2020-11-20 05:39 PM	CYP8B1	-0.014	enzyme	0	0	0	0	0	0.00301	ABCA1, ABCG5, ABCG8
ndr_vs_wt_all - 2020-11-20 05:39 PM	EN2	0	transcription regulator	0	0	0	0	0	0.00301	ALDOC, NGFR, SNCA
ndr_vs_wt_all - 2020-11-20 05:39 PM	F2RL3	0.431	g-protein coupled receptor	0	0	0	0	0	0.00301	EGR1, FOS, SELP
ndr_vs_wt_all - 2020-11-20 05:39 PM	FOXI1	0	transcription regulator	0	0	0	0	0	0.00301	SLC26A4, SLC4A1, SLC4A9
ndr_vs_wt_all - 2020-11-20 05:39 PM	MCOLN2	-0.132	ion channel	0	0	0	0	0	0.00301	Ccl2, CCL3L3, CXCL3
ndr_vs_wt_all - 2020-11-20 05:39 PM	MOGAT1	-0.065	enzyme	0	0	0	0	0	0.00301	Ccl2, CXCL10, TIMP1
ndr_vs_wt_all - 2020-11-20 05:39 PM	NAMPT	-0.476	cytokine	0	0	0	0	0	0.00301	CCL20, CXCL10, CXCL2
ndr_vs_wt_all - 2020-11-20 05:39 PM	RAD51C	-0.021	enzyme	0	0	0	0	0	0.00301	ESR1, KRT18, KRT8
ndr_vs_wt_all - 2020-11-20 05:39 PM	SLCO1B3	-0.397	transporter	0	0	0	0	0	0.00301	SLC22A7, Slco1a4, SLCO2B1
ndr_vs_wt_all - 2020-11-20 05:39 PM	TAF5	0.014	transcription regulator	0	0	0	0	0	0.00301	GHR, IGF1, PRLR
ndr_vs_wt_all - 2020-11-20 05:39 PM	TBL1X	-0.052	transcription regulator	0	0	0	0	0	0.00301	CXCL2, MMP12, RARB
ndr_vs_wt_all - 2020-11-20 05:39 PM	TBL1XR1	-0.203	transcription regulator	0	0	0	0	0	0.00301	CXCL2, MMP12, RARB
ndr_vs_wt_all - 2020-11-20 05:39 PM	FYN	0.008	kinase	0	-0.213	0	0.081	-0.455	0.00303	Ccl2, DAB1, EGR2, FOS, IL1B, MAPT, MBP, NLRP3, RORC, SOCS3
ndr_vs_wt_all - 2020-11-20 05:39 PM	WT1	1.035	transcription regulator	0	0	0	0	0	0.00303	EPOR, FDFT1, IDI1, IGF1, ITGAM, KLF4, LGALS3, NTRK2, Scd2, SQLE
ndr_vs_wt_all - 2020-11-20 05:39 PM	IL22	0	cytokine	0	-0.193	0	0.077	-0.457	0.00309	CCL3L3, CLDN1, CLDN2, CXCL10, CXCL2, CXCL3, CYBA, CYP1A2, CYP2E1, IL1B, LBP, NOS2, SAA1
ndr_vs_wt_all - 2020-11-20 05:39 PM	CNOT3	0.023	other	Inhibited	-2.219	0	-0.172	-1.837	0.00318	CPT1B, IGFBP1, LEPR, PDK4, TNFRSF11A
ndr_vs_wt_all - 2020-11-20 05:39 PM	CXCL3	2.011	cytokine	0	1.522	bias	0.258	0.947	0.00318	Ccl2, CCL3L3, CXCL10, CXCL3, ITGA6
ndr_vs_wt_all - 2020-11-20 05:39 PM	DGAT1	0.063	enzyme	0	1	0	0.155	0.69	0.00318	CPT1B, DGAT2, PDK4, PNPLA2, PPARA
ndr_vs_wt_all - 2020-11-20 05:39 PM	MAS1	-4.101	g-protein coupled receptor	0	-1.253	0	0	-1.253	0.00318	Ccl2, CX3CR1, CYBB, IL1B, NOS2
ndr_vs_wt_all - 2020-11-20 05:39 PM	NRG4	-0.104	growth factor	0	0.304	bias	-0.258	0.868	0.00318	ABCA1, CIDEC, ELOVL5, FASN, SREBF1
ndr_vs_wt_all - 2020-11-20 05:39 PM	PLAT	1.356	peptidase	0	0.555	0	0.086	0.364	0.00318	FOS, IL1B, NOS2, PLAT, SERPINE1
ndr_vs_wt_all - 2020-11-20 05:39 PM	PSMB8	-0.001	peptidase	0	1.342	0	0.07	1.184	0.00318	KCNJ2, NFKB2, NFKBIA, NOS2, TNFAIP3
ndr_vs_wt_all - 2020-11-20 05:39 PM	SLC7A2	0.741	transporter	0	-1.342	0	-0.129	-1.053	0.00318	CCL3L3, CXCL10, CXCL2, CXCL3, IL1B
ndr_vs_wt_all - 2020-11-20 05:39 PM	TREX1	0.228	enzyme	Inhibited	-2.2	bias	-0.258	-1.632	0.00318	CXCL10, IFI16, Ifi27l2a/Ifi27l2b, Ly6a (includes others), OASL
ndr_vs_wt_all - 2020-11-20 05:39 PM	MAP3K14	0.08	kinase	0	1.28	0	0.111	0.97	0.00319	Ccl2, EGFR, FASN, ICOSLG/LOC102723996, IL1B, NFKBIA, RELB, RIPK3, SREBF1
ndr_vs_wt_all - 2020-11-20 05:39 PM	KLF11	0.43	transcription regulator	0	0	0	0.016	-0.056	0.00326	CCL3L3, CCR2, CEBPB, DCN, IL1B, ITGA3, LOX, MMP2, MMP8, PCK2, PDGFA, PLAT, SERPINA1, SERPINE1, STAT6, TGIF1, TIMP1
ndr_vs_wt_all - 2020-11-20 05:39 PM	PRDM1	0.141	transcription regulator	Inhibited	-2.353	0	-0.064	-2.102	0.00326	ADA, AFP, ALPL, AQP3, ARG2, Ccl2, CLDN1, CXCL2, CXCL3, Cyp2d9 (includes others), FOS, IL1B, Keg1, NLRP12, SELL, TREH, TTR
ndr_vs_wt_all - 2020-11-20 05:39 PM	BID	0.047	other	Activated	2.449	0	0.167	2.04	0.00327	C5AR1, Ccl2, CTSD, IL1B, MMP12, TIMP1
ndr_vs_wt_all - 2020-11-20 05:39 PM	CFB	0.041	peptidase	0	1.698	0	0.197	1.219	0.00327	C5AR1, CXCL2, CXCL3, IL1B, ITGAM, SREBF1
ndr_vs_wt_all - 2020-11-20 05:39 PM	SCP2	-0.662	transporter	0	0.765	0	-0.106	1.021	0.00327	AKR1C4, HMGCR, LDLR, PDZK1IP1, SCP2, Slco1a4
ndr_vs_wt_all - 2020-11-20 05:39 PM	SPARC	-0.019	other	0	0	0	-0.056	0.237	0.00348	ACOT2, ARG2, ASIC5, CEBPD, CIDEC, CLDN1, CLDN4, CPT1B, DAB1, FOXQ1, LRP8, MMP2, P2RY2, PLET1, SERPINA7, SLC34A2, SPRR1A, TMC5
ndr_vs_wt_all - 2020-11-20 05:39 PM	BTNL2	0.018	transmembrane receptor	0	1.846	0	0.1	1.461	0.00351	DAPP1, EMB, ENTPD1, FGR, GATA1, Hspa1b, ITIH5, MXD1, NT5E, RALGDS, RRAGD, S100A4, SELL, SPECC1, TMEM64
ndr_vs_wt_all - 2020-11-20 05:39 PM	JUNB	1.654	transcription regulator	0	-0.277	0	0.086	-0.468	0.00353	ACLY, ATF3, C5AR1, CCL3L3, Ccl7, CXCL2, CXCL3, FASN, LCN2, MMP2, PNPLA2, Raet1d/Raet1e
ndr_vs_wt_all - 2020-11-20 05:39 PM	GATA3	0.137	transcription regulator	0	1.257	0	0.082	0.903	0.00365	ADM, BATF, BIK, BMF, CCR1, CCR2, ELOVL1, ELOVL6, FOS, IL17RB, RGCC, S100A8, S100A9, SLPI, SPI1, SPIB, TNFRSF9, VSIR, ZBTB16
ndr_vs_wt_all - 2020-11-20 05:39 PM	PSEN1	-0.005	peptidase	0	-0.735	0	-0.022	-0.639	0.00365	ABCC6, ACSL1, ARHGDIG, CAP1, CD9, CTSD, CTSZ, CYP51A1, DUSP1, EGFR, EPM2A, FOS, FOXO3, GADD45B, GFAP, LRP8, NUPR1, PER3, PIK3R1, PSTPIP1, RELN, SELPLG, SNCA, STIM2
ndr_vs_wt_all - 2020-11-20 05:39 PM	ITK	-0.051	kinase	0	0.851	0	0.171	0.176	0.00385	AHR, ARL4D, BAX, BIK, CX3CR1, EHD4, FAS, FCER1G, HLA-A, IL18RAP, Ly6a (includes others), MYO1F, Serpina3g (includes others), STAT4, SULF2, ZBTB16
ndr_vs_wt_all - 2020-11-20 05:39 PM	CD5L	0.692	transmembrane receptor	0	-0.577	0	-0.037	-0.513	0.00388	Ccl2, Ccl7, IL1B, TLR2
ndr_vs_wt_all - 2020-11-20 05:39 PM	CSK	0.029	kinase	0	1	0	0.129	0.742	0.00388	FCER1G, FGR, IL1B, ITGB2
ndr_vs_wt_all - 2020-11-20 05:39 PM	Cyp4a14	0.463	enzyme	Activated	2	0	0.194	1.613	0.00388	Ccl2, CXCL10, CXCL3, IL1B
ndr_vs_wt_all - 2020-11-20 05:39 PM	GPR84	0.809	g-protein coupled receptor	Activated	2	bias	0.258	1.484	0.00388	Ccl2, CCL3L3, IL1B, NOS2
ndr_vs_wt_all - 2020-11-20 05:39 PM	HSPD1	-0.334	enzyme	0	1.964	bias	0.258	1.457	0.00388	Ccl2, CXCL2, CXCL3, IL1B
ndr_vs_wt_all - 2020-11-20 05:39 PM	MVP	1.225	other	0	1.052	0	0.194	0.673	0.00388	CXCL2, CXCL3, IL1B, JUN
ndr_vs_wt_all - 2020-11-20 05:39 PM	NLRC4	0.112	other	Activated	2	bias	0.258	1.484	0.00388	CXCL2, CXCL3, IL1B, NOS2
ndr_vs_wt_all - 2020-11-20 05:39 PM	PPT1	0.025	enzyme	0	-1.934	bias	-0.258	-1.435	0.00388	Ccl2, CXCL10, CXCL3, GFAP
ndr_vs_wt_all - 2020-11-20 05:39 PM	PTGDR	0	g-protein coupled receptor	0	-1.03	0	0	-1.03	0.00388	Ccl2, IFI16, IL1B, NOS2
ndr_vs_wt_all - 2020-11-20 05:39 PM	TLR7	0.205	transmembrane receptor	Activated	3.558	0	0.248	2.675	0.00388	Abi3bp, ATF3, Ccl2, CCL20, Ccl7, CD300A, CD86, CEBPB, CXCL2, CXCL3, ESM1, FCER1G, GPR84, JUNB, Ms4a6c, NCF4, NFKBIA, RP1, RSAD2, SPRY4, TNFAIP3
ndr_vs_wt_all - 2020-11-20 05:39 PM	HSF1	0.034	transcription regulator	0	0.62	0	0.127	0.208	0.00389	Abi3bp, ACLY, CEBPB, COL6A2, FASN, FGF1, HSF2, Hspa1b, ICAM1, IL1B, LIF, MMP19, RAD51D, SLC44A5, SLIT3, SREBF1, TTR, VCAN
ndr_vs_wt_all - 2020-11-20 05:39 PM	EIF2AK4	-0.056	kinase	0	-0.266	0	0.168	-0.705	0.00389	AQP4, ASNS, ATG3, CAT, IL1B, MBP, PSAT1
ndr_vs_wt_all - 2020-11-20 05:39 PM	FAM3B	-0.038	cytokine	0	0	0	0	0	0.00389	CASP4, CCN4, DCN, IER3, IGFBP3, LCN2, LGALS1
ndr_vs_wt_all - 2020-11-20 05:39 PM	C3AR1	0.042	g-protein coupled receptor	0	-0.689	0	0.113	-1.021	0.00395	CASP4, Ccl2, CCL3L3, CD86, CXCL10, DCN, IGF1, IL1B, SERPINE1
ndr_vs_wt_all - 2020-11-20 05:39 PM	IKZF2	0.024	transcription regulator	Inhibited	-3	bias	-0.258	-2.225	0.00395	BATF, Cd52, CD53, ICAM1, Ly6a (includes others), NR4A1, STAT4, TNFRSF9, ZBTB42
ndr_vs_wt_all - 2020-11-20 05:39 PM	MMP9	0.503	peptidase	0	1	0	0.047	0.859	0.00398	Ccl2, CCL3L3, CD68, CLCN7, CXCL2, FOS, MMP12, MMP2, SERPINA1, TIMP1, TYROBP
ndr_vs_wt_all - 2020-11-20 05:39 PM	DNMT3A	-0.004	enzyme	Activated	3.286	0	-0.077	3.638	0.00399	ACE, AKAP12, BLNK, CASP4, CD79B, CYBB, DNMT3B, FCER1G, GRINA, IL18R1, MAPK13, Mt1, MYL4, NR4A1, PLA2G7, PPP1R3C, PRKAR2B, RGS16, Rhox5, S1PR1, SLIT3, TPCN1, TSC22D1
ndr_vs_wt_all - 2020-11-20 05:39 PM	MYRF	0.089	transcription regulator	Activated	2.138	0	0.026	2.04	0.00412	Albfm1, Ank2, GDF15, JUNB, MBP, NOTUM, PDK4, PLAUR, RASSF6, RHOU, SLC22A4, TNFRSF21, UAP1L1, ZAN
ndr_vs_wt_all - 2020-11-20 05:39 PM	MAP3K8	0.81	kinase	Activated	3.101	0	0.016	3.035	0.00437	Apol7e (includes others), ARHGAP22, Ccl2, CCL20, CCR1, CCR2, Cd33, CEBPD, CXCL2, CXCL3, HP, IER3, IER5, IL1B, JUNB, MARCO, MRTFA, NFAM1, PLAT, SDR42E1, SLFN12L, SOCS3, ST3GAL3
ndr_vs_wt_all - 2020-11-20 05:39 PM	IKBKE	1.42	kinase	0	-0.102	0	0.136	-0.529	0.00444	ACOD1, Ccl2, CCL3L3, CXCL10, CXCL12, CXCL2, HLA-A, IFI16, NOS2, RSAD2
ndr_vs_wt_all - 2020-11-20 05:39 PM	FABP4	0.756	transporter	0	1.761	0	0.143	1.417	0.00453	Ccl2, FABP4, IL1B, LTB4R, NOS2, SOCS3
ndr_vs_wt_all - 2020-11-20 05:39 PM	PTPN2	0.084	phosphatase	0	-1.387	0	-0.117	-1.126	0.00453	CCL3L3, CIDEA, NOS2, PPP1R15A, TMEM26, TNFRSF9
ndr_vs_wt_all - 2020-11-20 05:39 PM	CHD4	0.012	enzyme	0	-0.905	0	-0.22	-0.173	0.00471	AS3MT, CASQ1, CLCF1, DUOX2, FAS, HMOX1, JUN, KLF1, NGFR, PRPH, RORC
ndr_vs_wt_all - 2020-11-20 05:39 PM	GPS2	0.383	transcription regulator	0	-0.194	0	-0.174	0.38	0.00471	ABCA1, BLNK, Ccl2, CCL3L3, ERMAP, FZD1, KLF1, NOS2, PID1, SHISA5, TBC1D2
ndr_vs_wt_all - 2020-11-20 05:39 PM	MAFK	0.664	transcription regulator	0	0.277	0	0.201	-0.168	0.00477	ABCC3, GCLC, GSTP1, HMOX1, TXNRD1
ndr_vs_wt_all - 2020-11-20 05:39 PM	MAPKAP1	-0.004	other	0	0.537	0	0.218	0.055	0.00477	CXCL10, DAPK1, IFI16, Slfn2, SREBF1
ndr_vs_wt_all - 2020-11-20 05:39 PM	SMAD7	-0.15	transcription regulator	0	-0.095	0	-0.014	-0.053	0.00483	AREG, BMP5, Ccl2, CXCL12, HBEGF, ICAM1, IL1B, KRT8, NFKBIA
ndr_vs_wt_all - 2020-11-20 05:39 PM	EIF4EBP1	0.41	translation regulator	0	-1.105	0	-0.101	-0.849	0.00506	CEBPB, CEBPD, CYP2A6 (includes others), EGR1, IL1RN, NOS2, PNPLA2
ndr_vs_wt_all - 2020-11-20 05:39 PM	HSD17B4	-0.275	enzyme	0	0.378	0	-0.237	1.004	0.00506	ABCD3, ACOT2, ACSL1, FASN, MGLL, PDK4, SCP2
ndr_vs_wt_all - 2020-11-20 05:39 PM	KRT17	0	other	Activated	2.828	0	0.103	2.536	0.00509	CCL3L3, CCR1, CLEC7A, CXCL10, CXCL2, CXCL3, CXCR2, IL1B
ndr_vs_wt_all - 2020-11-20 05:39 PM	ZFPM1	0.269	transcription regulator	0	0	0	0	0	0.00554	ALOX5, ALOX5AP, ANXA5, BLNK, CD63, CEBPB, Ctla2a/Ctla2b, IRAK3, ITGA2B, KLF6, MPO, SELP, SPI1
ndr_vs_wt_all - 2020-11-20 05:39 PM	MAPK1	-0.063	kinase	0	0.222	0	-0.044	0.407	0.00556	CCL3L3, EGR1, EGR2, ENDOD1, FES, FOS, LGALS1, LGALS3, LIF, LMNA, NR4A1, NT5E, NUPR1, OSBPL3, RGS16, RGS2, Serpina3g (includes others), SUOX, TNFRSF9
ndr_vs_wt_all - 2020-11-20 05:39 PM	NCOA1	-0.047	transcription regulator	0	-0.777	0	-0.109	-0.419	0.00584	ACSL4, ALDOA, BTG2, CA5A, EGR1, FABP4, FOS, Gk, IL1RN, JUNB, LECT2, LPIN1, OLR1, PAWR, RARB
ndr_vs_wt_all - 2020-11-20 05:39 PM	BDNF	0.012	growth factor	0	1.026	0	0.14	0.69	0.00601	Cdkn1c, DUSP1, EGR1, EGR2, ELOVL6, FOS, LGALS1, LYPD1, MBP, MYL4, NGFR, P2RX3, PALMD, REEP5, RELN, S100A9, SORL1, TBC1D8
ndr_vs_wt_all - 2020-11-20 05:39 PM	PLK1	0.169	kinase	0	0	0	0	0	0.0061	ANKRD1, EGFR, IER3, IFI16, MGMT, PIK3R1
ndr_vs_wt_all - 2020-11-20 05:39 PM	TFAM	-0.36	transcription regulator	0	-1.633	0	0.149	-1.999	0.0061	AUH, CPT2, FABP4, HK1, PFKP, PPARA
ndr_vs_wt_all - 2020-11-20 05:39 PM	SOX2	0	transcription regulator	0	0.197	0	0.138	-0.644	0.00617	ADAMTS4, ALOX5, AQP4, ARPC1B, ASCL1, ATF3, CD9, CHST3, CLDN7, EGFR, ELF3, ELOVL1, FA2H, FABP7, FOXA2, GADD45B, GSN, INAVA, KLF4, KLF6, KRT18, LIMS2, MBP, MTMR10, NFKB2, PIK3R1, PROM1, PSAT1, RASGEF1B, RND2, RNF43, SALL4, SGK2, SH3BP4, SPRY4, TSPAN15, TUBB3, VCAN, ZFP57
ndr_vs_wt_all - 2020-11-20 05:39 PM	NR3C2	-0.143	ligand-dependent nuclear receptor	Activated	2.224	0	0.188	1.806	0.00631	CAT, Ccl2, CCL3L3, CXCR2, CYP1B1, IGF1, IL1B, LCN2, MMP12, SERPINE1
ndr_vs_wt_all - 2020-11-20 05:39 PM	CEBPD	1.247	transcription regulator	Activated	2.414	0	0.177	1.988	0.00631	CCL3L3, CEBPB, CLU, CXCL3, FOS, IGFBP5, MBP, NGF
ndr_vs_wt_all - 2020-11-20 05:39 PM	OLR1	1.01	transmembrane receptor	Activated	2.791	0	0.108	2.489	0.00631	CD68, CXCR2, CYBA, CYBB, ICAM1, ITGAM, NCF1, NCF2
ndr_vs_wt_all - 2020-11-20 05:39 PM	PPP3R1	-0.05	phosphatase	0	-0.707	bias	0.258	-1.437	0.00631	CACNB2, CPT1B, LYZ, PON1, PPARA, Scd2, SLC34A2, SLC7A10
ndr_vs_wt_all - 2020-11-20 05:39 PM	Rxr	0	group	0	0	0	0	0	0.00631	HBEGF, IGF1, IL1B, MMP2, Neat1, PDGFA, RARB, SREBF1
ndr_vs_wt_all - 2020-11-20 05:39 PM	HMGN1	-0.088	transcription regulator	0	0	0	0	0	0.00647	Acaa1b, CSF2RB, FOSB, Mup1 (includes others), SHISA2, Slfn1, TTR
ndr_vs_wt_all - 2020-11-20 05:39 PM	LTB4R	0.811	g-protein coupled receptor	0	0.239	0	0.155	-0.168	0.00647	Ccl2, CCL3L3, CLEC7A, CXCL3, LDLR, MMP2, SREBF1
ndr_vs_wt_all - 2020-11-20 05:39 PM	CTTN	0.033	other	0	1.982	bias	0.258	1.471	0.00648	Ccl2, CCR2, CXCL2, IL1B
ndr_vs_wt_all - 2020-11-20 05:39 PM	OGG1	-0.027	enzyme	0	1.997	0	0.143	1.711	0.00648	CCL20, CCL3L3, CXCL2, IL1B
ndr_vs_wt_all - 2020-11-20 05:39 PM	PTGFR	0.065	g-protein coupled receptor	0	0.849	0	0.143	0.565	0.00648	AKR1C4, FABP4, NR4A1, PRLR
ndr_vs_wt_all - 2020-11-20 05:39 PM	RELN	-0.682	peptidase	0	-0.11	0	-0.029	-0.053	0.00648	ABCA1, DAB1, FABP7, NTRK2
ndr_vs_wt_all - 2020-11-20 05:39 PM	UBD	1.992	other	0	1	bias	-0.258	1.516	0.00648	ACOT1, Acot1, ACSL1, PPARA
ndr_vs_wt_all - 2020-11-20 05:39 PM	NR0B2	0.148	ligand-dependent nuclear receptor	0	-1.037	0	-0.194	-0.401	0.00649	ABCA1, ABCC3, Ccl2, CD86, Cyp2b13/Cyp2b9, CYP2B6, FASN, Gstm3, GSTM5, NOS2, SREBF1
ndr_vs_wt_all - 2020-11-20 05:39 PM	AQP1	-0.011	transporter	0	0.447	0	0.037	0.365	0.00685	AK2, CES1, HSPA4L, LCN2, NUPR1
ndr_vs_wt_all - 2020-11-20 05:39 PM	FBXW7	-0.017	enzyme	0	-1.452	0	-0.184	-1.048	0.00685	Cdkn1c, CIDEC, DGAT2, FABP4, JUN
ndr_vs_wt_all - 2020-11-20 05:39 PM	Klra7 (includes others)	-0.001	transmembrane receptor	0	1.406	0	0.218	0.928	0.00685	ABCD3, CASP4, CCL3L3, Ccl6, Mt1
ndr_vs_wt_all - 2020-11-20 05:39 PM	PLP1	-0.118	other	0	0	0	0	0	0.00685	ATF3, CCL20, CXCL2, MBP, PPP1R15A
ndr_vs_wt_all - 2020-11-20 05:39 PM	CSRP3	-0.784	other	0	0	0	0	0	0.00701	DES, KRT18, KRT8
ndr_vs_wt_all - 2020-11-20 05:39 PM	Cxcl3	0	cytokine	0	0	0	0	0	0.00701	CEBPB, CEBPD, FABP4
ndr_vs_wt_all - 2020-11-20 05:39 PM	EN1	0	transcription regulator	0	0	0	0	0	0.00701	ALDOC, NGFR, SNCA
ndr_vs_wt_all - 2020-11-20 05:39 PM	ERCC3	0.02	enzyme	0	0	0	0	0	0.00701	GHR, IGF1, PRLR
ndr_vs_wt_all - 2020-11-20 05:39 PM	ERCC4	-0.025	enzyme	0	0	0	0	0	0.00701	GHR, IGF1, PRLR
ndr_vs_wt_all - 2020-11-20 05:39 PM	FUT7	0.146	enzyme	0	0	0	0	0	0.00701	SELE, SELP, SELPLG
ndr_vs_wt_all - 2020-11-20 05:39 PM	G6PC3	0.038	phosphatase	0	0	0	0	0	0.00701	CYBA, CYBB, NCF1
ndr_vs_wt_all - 2020-11-20 05:39 PM	MLYCD	-0.005	enzyme	0	0	0	0	0	0.00701	ACOT2, CPT1B, PDK4
ndr_vs_wt_all - 2020-11-20 05:39 PM	MRC1	-0.054	transmembrane receptor	0	0	0	0	0	0.00701	ACOD1, CXCL10, NOS2
ndr_vs_wt_all - 2020-11-20 05:39 PM	Orm1 (includes others)	3.503	other	0	0	0	0	0	0.00701	Ccl2, IL1B, NOS2
ndr_vs_wt_all - 2020-11-20 05:39 PM	PTAFR	0.44	g-protein coupled receptor	0	0	0	0	0	0.00701	CCL3L3, CXCL2, IL1B
ndr_vs_wt_all - 2020-11-20 05:39 PM	STK38	-0.109	kinase	0	0	0	0	0	0.00701	CCL20, CXCL2, CXCL3
ndr_vs_wt_all - 2020-11-20 05:39 PM	TAF1	-0.017	transcription regulator	0	0	0	0	0	0.00701	GHR, IGF1, PRLR
